libxkbcommon-x11 0.7.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+12+ge905f08-2
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libzip 1.1.3-1
licenses 20140629-1
lightdm 1:1.18.3-1
lightdm-webkit2-greeter 2.2.1-1
linux 4.8.13-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
linux-headers 4.8.13-1
llvm-libs 3.9.1-2
lm_sensors 3.4.0-2
lmdb 0.9.18-2
logrotate 3.11.0-1
lpsolve 5.5.2.5-1
lua 5.3.3-2
lua52 5.2.4-2
lvm2 2.02.168-1
lz4 1:1.7.4.2-1
lzo 2.09-1
m4 1.4.17-2
mailcommon 16.12.0-1
mailimporter 16.12.0-1
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.09-1
mariadb 10.1.20-1
mariadb-clients 10.1.20-1
mbox-importer 16.12.0-1
mdadm 3.4-1
media-player-info 22-2
mesa 13.0.2-2
mesa-libgl 13.0.2-2
mesa-vdpau 13.0.2-2
messagelib 16.12.0-1
milou 5.8.5-1
mime-types 9-1
minizip 1:1.2.8-7
mjpegtools 2.1.0-3
mkinitcpio 22-1
mkinitcpio-busybox 1.25.1-1
mlocate 0.26-5
mobile-broadband-provider-info 20151214-1
modemmanager 1.6.4-1
modemmanager-qt 5.29.0-1
mozilla-common 1.4-4
mpfr 3.1.5-1
mpg123 1.23.8-1
mtdev 1.1.5-1
musicbrainz 2.1.5-7
mutagen 1.35.1-1
nano 2.7.2-1
ncurses 6.0+20161224-1
neon 0.30.2-1
net-snmp 5.7.3-3
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
networkmanager 1.4.4-1
networkmanager-qt 5.29.0-1
nfs-utils 1.3.4-1
nfsidmap 0.26-1
nilfs-utils 2.2.6-1
nm-connection-editor 1.4.2-1
noto-fonts 20161003-1
npth 1.3-1
nspr 4.13.1-1
nss 3.27.2-1
ntfs-3g 2016.2.22-1
numix-frost-themes 3.6.6-1
numix-icon-theme 1:0.r1890.2-1
numix-icon-theme-square 1:0.r83_8-1
ocl-icd 2.2.10-1
octopi 0.8.1-1
okular 16.12.0-1
openal 1.17.2-2
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.8.1-1
openslp 2.0.0-1
openssh 7.4p1-1
openssl 1.0.2.j-1
opera 42.0.2393.94-1
opus 1.1.3-2
orbit2 2.14.19-3
orc 0.4.26-1
os-prober 1.71-1
oxygen 5.8.5-1
oxygen-icons 1:5.29.0-1
p11-kit 0.23.2-1
p7zip 16.02-2
pacaur 4.6.10-1
package-query 1.8.r380-2
pacman 5.0.1-4
pacman-mirrorlist 20161214-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-1
pangomm 2.40.1-1
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.2-1
pcmciautils 018-7
pcre 8.39-2
pepper-flash 1:24.0.0.186-1
perl 5.24.0-2
perl-error 0.17024-1
perl-parse-yapp 1.05-6
perl-xml-parser 2.44-3
phonon-qt4 4.9.0-1
phonon-qt4-gstreamer 4.9.0-1
phonon-qt5 4.9.0-1
phonon-qt5-gstreamer 4.9.0-1
pim-sieve-editor 16.12.0-1
pim-storage-service-manager 16.12.0-1
pimcommon 16.12.0-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.1-2
pkgfile 15-1
plasma-desktop 5.8.5-1
plasma-framework 5.29.0-1
plasma-integration 5.8.5-1
plasma-nm 5.8.5-1
plasma-pa 5.8.5-1
plasma-workspace 5.8.5-1
plasma-workspace-wallpapers 5.8.5-1
polkit 0.113-4
polkit-kde-agent 5.8.5-1
polkit-qt4 0.112.0+git20160226-1
polkit-qt5 0.112.0+git20160226-1
poppler 0.50.0-1
poppler-qt4 0.50.0-1
poppler-qt5 0.50.0-1
popt 1.16-8
powerdevil 5.8.5-1
ppp 2.4.7-2
printproto 1.0.5-3
prison 5.29.0-1
procps-ng 3.3.12-1
protobuf 3.0.2-2
psmisc 22.21-3
pulseaudio 9.0-1
pulseaudio-alsa 2-3
pulseaudio-ctl 1.63-1
pulseaudio-gconf 9.0-1
purpose 1.1-2
pygobject-devel 3.22.0-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyorbit 2.24.0-5
python 3.5.2-3
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-gobject 3.22.0-1
python-pysmbc 1.0.15.6-1
python-simplejson 3.10.0-1
python-termcolor 1.1.0-4
python-xdg 0.25-3
python2 2.7.13-1
python2-bonobo 2.28.1-9
python2-cairo 1.10.0-2
python2-dbus 1.2.4-1
python2-gconf 2.28.1-9
python2-gnomecanvas 2.28.1-9
python2-gnomevfs 2.28.1-9
python2-gobject 3.22.0-1
python2-gobject2 2.28.6-12
python2-libgnome 2.28.1-9
python2-lxml 3.7.1-1
python2-notify 0.1.1-13
python2-xdg 0.25-3
qca-qt4 2.1.1-6
qca-qt5 2.1.1-6
qgpgme 1.7.1-2
qimageblitz 0.0.6-5
qjson 0.8.1-5
qoauth-git v1.0.30.g02fbc13-1
qrencode 3.4.4-1
qt4 4.8.7-11
qt5-base 5.7.1-1
qt5-declarative 5.7.1-1
qt5-graphicaleffects 5.7.1-1
qt5-location 5.7.1-1
qt5-multimedia 5.7.1-1
qt5-quickcontrols 5.7.1-1
qt5-script 5.7.1-1
qt5-sensors 5.7.1-1
qt5-svg 5.7.1-1
qt5-tools 5.7.1-1
qt5-translations 5.7.1-1
qt5-webchannel 5.7.1-1
qt5-webengine 5.7.1-1
qt5-webkit 5.7.1-1
qt5-x11extras 5.7.1-1
qt5-xmlpatterns 5.7.1-1
qtcurve-gtk2 1.8.18.git20151017-1
qtcurve-qt4 1.8.18.git20151017-1
qtcurve-qt5 1.8.18.git20151017-1
qtcurve-utils 1.8.18.git20151017-1
qtwebkit 2.3.4-4
radiotray 0.7.3-7
randrproto 1.5.0-1
raptor 2.0.15-5
rasqal 1:0.9.33-1
readline 7.0.001-1
recordproto 1.14.2-2
redland 1:1.0.17-3
redshift 1.11-3
reflector 2016-1
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rest 0.8.0-1
rpcbind 0.2.4-2
rsync 3.1.2-2
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
run-parts 4.8.1-1
s-nail 14.8.14-1
samba 4.5.3-1
sane 1.0.25-1
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl2 2.0.5-2
sdl_image 1.2.12-3
sed 4.2.2-4
sg3_utils 1.42-1
shadow 4.4-3
shared-mime-info 1.7-1
signon-kwallet-extension 16.12.0-1
signon-plugin-oauth2 0.24-1
signon-ui 0.17+15.10.20150810-2
signond 8.59-1
slang 2.3.1a-1
smbclient 4.5.3-1
snappy 1.1.3-2
socat 1.7.3.1-3
solid 5.29.0-1
sonnet 5.29.0-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
sox 14.4.2-1
spandsp 0.0.6-1
spectacle 16.12.0-1
speech-dispatcher 0.8.5-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.15.2-1
sshfs 2.8-1
startup-notification 0.12-4
sudo 1.8.19.p1-1
syntax-highlighting 5.29.0-1
sysfsutils 2.1.0-9
system-config-lvm 1.1.18-4
systemd 232-6
systemd-sysvcompat 232-6
systemsettings 5.8.5-1
taglib 1.11.1-1
talloc 2.1.8-1
tar 1.29-2
tcl 8.6.6-1
tdb 1.3.12-1
tevent 1:0.9.31-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
threadweaver 5.29.0-1
tk 8.6.6-1
transmission-qt 2.92-5
tslib 1.2-1
ttf-bitstream-vera 1.10-10
ttf-dejavu 2.37-1
ttf-freefont 20120503-4
ttf-google-fonts 20160408.r423-1
ttf-hack 2.020-1
ttf-liberation 2.00.1-6
tzdata 2016j-1
udisks2 2.1.8-1
unrar 1:5.4.5-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
usb_modeswitch 2.4.0-2
usbutils 008-1
